r (m)	z (m)	Br (T)	Bz (T)	B (T)	Theta (°)	Ic (A)	I (A)	I/Ic (%)
0.000454	-0.106560	-0.000398	0.024605	0.024609	90.926292	--	0.000000	--
0.005035	-0.105279	-0.000929	0.034858	0.034870	91.526219	--	0.000000	--
0.004667	-0.105088	-0.001929	0.035081	0.035134	93.147611	--	0.000000	--
0.000437	-0.107074	-0.001100	0.023124	0.023150	92.724401	--	0.000000	--
0.001889	-0.105422	-0.002340	0.035093	0.035171	93.815083	--	0.000000	--
0.003289	-0.105149	-0.001082	0.034094	0.034111	91.817596	--	0.000000	--
0.003557	-0.105076	-0.001195	0.035565	0.035585	91.923862	--	0.000000	--
0.001024	-0.105853	-0.002562	0.032573	0.032674	94.496886	--	0.000000	--
0.001421	-0.105485	-0.002071	0.034271	0.034334	93.457353	--	0.000000	--
0.001210	-0.105616	0.002076	0.034701	0.034763	86.575675	--	0.000000	--
